totalPopulation: 1000000,numberOfPublicPlaces: 1000,publicPlaceOccupancyRate: 0.5,seedPopulationPercentage: 0.05,indoorInfectionRate: 0.5
Day #,Category 0,Category 1,Category 2,Category 3,Category 4
0,951600,48401,0,0,0
1,951600,48367,34,0,0
2,951600,45154,3247,0,0
3,951600,36429,11972,0,0
4,951600,34537,13718,146,0
5,951597,28967,18011,1426,0
6,951593,28200,17832,2289,87
7,951586,25363,18636,3762,654
8,951569,25682,16945,4434,1371
9,951548,26417,15130,4836,2070
10,951509,31121,11126,3487,2758
11,951480,36131,7039,2160,3191
12,951440,41002,3401,752,3406
13,951398,44296,735,76,3496
14,951385,44912,131,41,3532
15,951287,45016,127,24,3547
16,951284,45004,145,14,3554
17,951282,45008,138,15,3558
18,951281,45016,122,23,3559
19,951281,45024,110,24,3562
20,951281,45043,88,23,3566
21,951281,45066,64,21,3569
22,951281,45076,58,14,3572
23,951281,45096,43,7,3574
24,951281,45118,24,4,3574
25,951281,45131,14,1,3574
26,951281,45143,3,0,3574
27,951281,45145,1,0,3574
28,951281,45145,1,0,3574
29,951281,45145,1,0,3574
30,951281,45145,1,0,3574
31,951281,45145,1,0,3574
32,951281,45145,1,0,3574
33,951281,45145,1,0,3574
34,951281,45145,1,0,3574
35,951281,45145,1,0,3574
36,951281,45145,1,0,3574
37,951281,45145,1,0,3574
38,951281,45145,1,0,3574
39,951281,45145,1,0,3574
40,951281,45145,1,0,3574
41,951281,45145,1,0,3574
42,951281,45145,1,0,3574
43,951281,45145,1,0,3574
44,951281,45145,1,0,3574
45,951281,45145,1,0,3574
46,951281,45145,1,0,3574
47,951281,45145,1,0,3574
48,951281,45145,1,0,3574
49,951281,45145,1,0,3574
50,951281,45145,1,0,3574
